"SESBUSINESS Edit Review";"Edit Review"
"SESBUSINESS Delete Review";"Delete Review"
"SESBUSINESS Review Parameters have been saved.";"Review Parameters have been saved."
"SESBUSINESS The selected review has been deleted.";"The selected review has been deleted."
"SESBUSINESS Edit a Review for ""<b>%s</b>"".";"Edit a Review for ""<b>%s</b>""."
"SESBUSINESS Out of 5 Stars";" Out of 5 Stars"
" SESBUSINESS Star";" Star"
" SESBUSINESS Reviews ";" Reviews "
"SESBUSINESS about";"about"
"SESBUSINESS Pros: ";"Pros: "
"SESBUSINESS Cons: ";"Cons: "
"SESBUSINESS Description: ";"Description: "
"SESBUSINESS Recommended";"Recommended"
"SESBUSINESS Continue Reading";"Continue Reading"
"%s SESBUSINESSrating";"%s SESBUSINESSrating";"%s SESBUSINESSratings"
"SESBUSINESS Was this Review...?";"Was this Review...?"
"SESBUSINESS Share Review";"Share Review"
"SESBUSINESS Are you sure you want to delete the selected reviews?";"Are you sure you want to delete the selected reviews?"
"SESBUSINESSterrible";"terrible"
"SESBUSINESSpoor";"poor"
"SESBUSINESSaverage";"average"
"SESBUSINESSvery good";"very good"
"SESBUSINESSexcellent";"excellent"
"SESBUSINESSclick to rate";"click to rate"
"SESBUSINESSOverall Rating";"Overall Rating"
"SESBUSINESSby ";"by "
"SESBUSINESSFor ";"For "
"SESBUSINESSabout ";"about "
"SESBUSINESSPros";"Pros"
"SESBUSINESSCons";"Cons"
"SESBUSINESSRecommended";"Recommended"
"SESBUSINESSContinue Reading »";"Continue Reading »"
"SESBUSINESSNo review have been posted yet.";"No review have been posted yet."
"SESBUSINESSWrite a Review";"Write a Review"
"SESBUSINESSUpdate Review";"Update Review"
"SESBUSINESSContinue Reading";"Continue Reading"
"SESBUSINESSFor";"For"
"SESBUSINESSESummary";"Summary"
"_ACTIVITY_ACTIONTYPE_SESBUSINESSREVIEW_REVIEWPOST";"Write review"
"ACTIVITY_TYPE_SESBUSINESSREVIEW_REVIEWPOST";"When someone has written review on your page."
"ADMIN_ACTIVITY_TYPE_SESBUSINESSREVIEW_REVIEWPOST";"When a user (subject) write a review for another page (object)."