"SES - Community Advertisements Plugin";"Community Advertisements"
"SESCOMMSearch";"Search"
"SESCOMMHourly";"Hourly"
"SESCOMMDaily";"Daily"
"SESCOMMWeekly";"Weekly"
"SESCOMMMonthly";"Monthly"
"There are no results that match your search. Please try again.";"There are no results that match your search. Please try again."
"View More";"View More"
"Advertisements";"Advertisements"
"Campaign Stats";"Campaign Stats"
"SESCOMMDate";"Date"
"With our community advertisements, connect with people to grow your business and increase your reach.";"With our community advertisements, connect with people to grow your business and increase your reach."
"Your people are here !";"Your people are here !"
"Advertising on our community makes it easy for you to find the right people for your ads, get their attention and achieve desired results.";"Advertising on our community makes it easy for you to find the right people for your ads, get their attention and achieve desired results."
"Targeted Audience";"Targeted Audience"
"You can easily choose to display your ads to your targeted audience here.";"You can easily choose to display your ads to your targeted audience here."
"Attractive Ad Display";"Attractive Ad Display"
"With 3 different Ad formats, you can control the display of your ads as your requirements.";"With 3 different Ad formats, you can control the display of your ads as your requirements."
"In Budget Ad Packages";"In Budget Ad Packages"
"You can choose a suitable and perfect package for your creating ads here.";"You can choose a suitable and perfect package for your creating ads here."
"Ad Targeting and Visibility of Ads";"Ad Targeting and Visibility of Ads"
"Our ad system works based on the ad targeting by our advertisers. Our advertisers choose their desired audience and we then show the ads to the people who have shown interest in that ad or matches to the ad targeting. This means our audience will see relevant and useful ads without any technical details and any personal information being shared by our advertisers";"Our ad system works based on the ad targeting by our advertisers. Our advertisers choose their desired audience and we then show the ads to the people who have shown interest in that ad or matches to the ad targeting. This means our audience will see relevant and useful ads without any technical details and any personal information being shared by our advertisers"
"SESCOMMFemale";"Female"
"Between 18-30 years old";"Between 18-30 years old"
"When an advertiser creates an ad and wants to reach the audience like";"When an advertiser creates an ad and wants to reach the audience like"
"20 years old";"20 years old"
"How our Ad System works?";"How our Ad System works?"
"Advertisers’ Selection";"Advertisers’ Selection"
"Advertisers select suitable package, campaign, business goal for their ads.";"Advertisers select suitable package, campaign, business goal for their ads."
"Ad Format and Targeting";"Ad Format and Targeting"
"Advertisers choose design and format for their ads, configure them and choose their desired audience.";"Advertisers choose design and format for their ads, configure them and choose their desired audience."
"The ad is created";"The ad is created"
"Advertisers create ads to show on this website at various places included feeds.";"Advertisers create ads to show on this website at various places included feeds."
"We Show Ads to Audience";"We Show Ads to Audience"
"Based on advertisers goals & desired audience, we show ads on our site to various audience without selling any user data to advertisers.";"Based on advertisers goals & desired audience, we show ads on our site to various audience without selling any user data to advertisers."
"SESCOMMFAQs";"FAQs"
"Do you sell my data?";"Do you sell my data?"
"No, we do not sell our members data to advertisers. We show ads based on the targeting and desired audience chosen by advertisers without telling them any user information including name, posts or any other content posted on this site.";"No, we do not sell our members data to advertisers. We show ads based on the targeting and desired audience chosen by advertisers without telling them any user information including name, posts or any other content posted on this site."
"How can I improve Ads display?";"How can I improve Ads display?"
"The ads will look beautifully if you upload good quality images, video and content to your ads. Choose high quality artwork, relevant and specific content which can interest your audience will enhance your ad. The more appealing images and content will be, the more audience you will get.";"The ads will look beautifully if you upload good quality images, video and content to your ads. Choose high quality artwork, relevant and specific content which can interest your audience will enhance your ad. The more appealing images and content will be, the more audience you will get."
"Where all on this site, my ads will be displayed or I can see ads?";"Where all on this site, my ads will be displayed or I can see ads?"
"Ads on this site will be displayed at various places included pages, various sections, columns, Activity Feeds.";"Ads on this site will be displayed at various places included pages, various sections, columns, Activity Feeds."
"Users may choose to report, hide the ads which they will not find relevant or suitable for them.";"Users may choose to report, hide the ads which they will not find relevant or suitable for them."
"Get Started with making an effective ad and grow your business !!";"Get Started with making an effective ad and grow your business !!"
"Create an Ad";"Create an Ad"
"Explore Ads";"Explore Ads"
"SESCOMMStatus:";"Status"
"Approval Pending";"Approval Pending"
"Approved/Running";"Approved/Running"
"Paused";"Paused"
"Completed";"Completed"
"Declined";"Declined"
"Approved Date:";"Approved Date:"
"Start Date:";"Start Date:"
"End Date:";"End Date:"
"Ad Type:";"Ad Type:"
"SESCOMMViews";"Views"
"SESCOMMClicks";"Clicks"
"SESCOMMCTR";"CTR"
"SESCOMMLikes";"Likes"
"SESCOMMView";"View"
"SESCOMMEdit";"Edit"
"SESCOMMDelete";"Delete"
"No ads created in this campaign by you yet.";"No ads created in this campaign by you yet."
"Delete Selected";"Delete Selected"
"Are you sure you want to delete selected Ads?";"Are you sure you want to delete selected Ads?"
"Campaign Name";"Campaign Name"
"Ads";"Ads"
"SESCOMMViews";"Views"
"CTR (%)";"CTR (%)"
"SESCOMMOptions";"Options"
"No campaign created by you yet.";"No campaign created by you yet."
"Payment Status:";"Payment Status:"
"Expire On:";"Expire On:"
"Reniew Advertisement Payment";"Reniew Advertisement Payment"
"After %s Clicks";"After %s Clicks"
"After %s Days";"After %s Days"
"After %s Views";"After %s Views"
"SESCOMMExpire";"Expire"
"Make Payment";"Make Payment"
"Status:";"Status:"
"Want More Customers?";"Want More Customers?"
"SESCOMMAdvertise";"Advertise"
"Get started by creating your advertisement here on our community and increase your reach.";"Get started by creating your advertisement here on our community and increase your reach."
"Create an Ad";"Create an Ad"
"Lorem Ipsum is simply dummy text of the printing and typesetting industry?";"Lorem Ipsum is simply dummy text of the printing and typesetting industry?"
"SESCOMMCreate";"Create"
"How would you like to grow your business?";"How would you like to grow your business?"
"Creating a promotion helps get you more of the business results you want.";"Creating a promotion helps get you more of the business results you want."
"Boost A Post";"Boost A Post"
"Get more people to see and engage with your Page posts.";"Get more people to see and engage with your Page posts."
"Promote Your Page";"Promote Your Page"
"Connect more people with your Page.";"Connect more people with your Page."
"Promote Your Content";"Promote Your Content"
"Let more people see the content you post.";"Let more people see the content you post."
"Get More Website Visitors";"Get More Website Visitors"
"Advertise your website to a large audience";"Advertise your website to a large audience"
"Network Targeting";"Network Targeting"
"Select a Post to Boost";"Select a Post to Boost"
"See more at";"See more at"
"Payment Type";"Payment Type"
"Billing Duration";"Billing Duration"
"Ads Count";"Ads Count"
"Auto Approved Ads";"Auto Approved Ads"
"Targeting";"Targeting"
"Ads Format";"Ads Format"
"SESCOMMImage";"Image"
"Carousel";"Carousel"
"SESCOMMVideo";"Video"
"You can advertise";"You can advertise"
"Ads Type";"Ads Type"
"Boost A Posts";"Boost A Posts"
"Promote Your Content";"Promote Your Content"
"Promote Your Page";"Promote Your Page"
"Get More Website Visitor";"Get More Website Visitor"
"Create an Ad";"Create an Ad"
"SESCOMMText";"Text"
"Heading";"Heading"
"Description";"Description"
"Destination URL";"Destination URL"
"eg. http://www.example.com";"eg. http://www.example.com"
"Call to Action";"Call to Action"
"Add a card at the end.";"Add a card at the end."
"See More URL";"See More URL"
"See More Display Link";"See More Display Link"
"No Overlay";"No Overlay"
"Cash on Delivery";"Cash on Delivery"
"Home Delivery";"Home Delivery"
"Bank Transfer Available";"Bank Transfer Available"
"Single Image";"Single Image"
"Single Video";"Single Video"
"Video (mp4 only)";"Video (mp4 only)"
"SELECT CONTENT";"SELECT CONTENT"
"Website URL";"Website URL"
"Website Title";"Website Title"
"Ad scheduling";"Ad scheduling"
"Start Date";"Start Date"
"End Date";"End Date"
"Run this ad till it expires";"Run this ad till it expires"
"Ad Preview";"Ad Preview"
"Select Content";"Select Content"
"Location Targeting";"Location Targeting"
"Location Type";"Location Type"
"Miles";"Miles"
"Killometer";"Killometer"
"Location Distance";"Location Distance"
"Location Distance";"Location Distance"
"Location";"Location"
"Start Date & Time";"Start Date & Time"
"End Date & Time";"End Date & Time"
"Edit Ad";"Edit Ad"
"Create Ad";"Create Ad"
"Start date is in the past. Please enter an start date greater than or equal to today's date.";"Start date is in the past. Please enter an start date greater than or equal to today's date."
"Ad cannot end before or same date as it starts. Please choose an ad end date and time that is later than the start date and time.";"Ad cannot end before or same date as it starts. Please choose an ad end date and time that is later than the start date and time."
"Invalid package selected.";"Invalid package selected."
"Please provide valid campaign name.";"Please provide valid campaign name."
"Please enter correct end date.";"Please enter correct end date."
"Start time must be greater than current time.";"Start time must be greater than current time."
"End time must be greater than start time.";"End time must be greater than start time."
"Create Advertisement";"Create Advertisement"


"ACTIVITY_TYPE_SESCOMMUNITYADS_ADSACTIVATED";"When Advertisement is activated."
"ACTIVITY_TYPE_SESCOMMUNITYADS_ADSAPPROVE";"When Advertisement is approved."
"ACTIVITY_TYPE_SESCOMMUNITYADS_ADSDISAPPROVE";"When Advertisement is dis-approved."
"ACTIVITY_TYPE_SESCOMMUNITYADS_ADSEXPIRED";"When Advertisement has expired."
"ACTIVITY_TYPE_SESCOMMUNITYADS_ADSOVERDUE";"When Advertisement payment has overdue."
"ACTIVITY_TYPE_SESCOMMUNITYADS_ADSPENDING";"When Advertisement is pending."
"ACTIVITY_TYPE_SESCOMMUNITYADS_NEWADSCREATEADMIN";"When new Advertisement is create."
"ACTIVITY_TYPE_SESCOMMUNITYADS_NEWADSCREATEADMINAPPROVAL";"When new Advertisement is created and waiting for approval."
"ACTIVITY_TYPE_SESCOMMUNITYADS_PAYMENTCANCEL";"When Advertisement payment is canceled."
"ACTIVITY_TYPE_SESCOMMUNITYADS_PAYMENTPENDING";"When Advertisement payment is pending."
"ACTIVITY_TYPE_SESCOMMUNITYADS_PAYMENTREFUNDED";"When Advertisement payment is refunded."
"ACTIVITY_TYPE_SESCOMMUNITYADS_PAYMENTSUCCESSFULL";"When Advertisement payment is successful."
"ACTIVITY_TYPE_SESCOMMUNITYADS_PMTMADEADMIN";"When Advertisement payment is made."


# SESCOMMUNITYADS_ADSAPPROVE
"_EMAIL_SESCOMMUNITYADS_ADSAPPROVE_TITLE";"Your Advertisement has been approved"
"_EMAIL_SESCOMMUNITYADS_ADSAPPROVE_DESCRIPTION";"This email will be sent to members when their advertisement has been approved."
"_EMAIL_SESCOMMUNITYADS_ADSAPPROVE_SUBJECT";"You Advertisement has been approved."
"_EMAIL_SESCOMMUNITYADS_ADSAPPROVE_BODY";"[header]

Thank you for choosing us.

The advertisement you posted on website has been approved.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"


# SESCOMMUNITYADS_ADSDISAPPROVE
"_EMAIL_SESCOMMUNITYADS_ADSDISAPPROVE_TITLE";"Your Advertisement has been disapproved"
"_EMAIL_SESCOMMUNITYADS_ADSDISAPPROVE_DESCRIPTION";"This email will be sent to members when their advertisement has been disapproved."
"_EMAIL_SESCOMMUNITYADS_ADSDISAPPROVE_SUBJECT";"You Advertisement has been disapproved."
"_EMAIL_SESCOMMUNITYADS_ADSDISAPPROVE_BODY";"[header]

Thank you for choosing us.

The advertisement you posted on website has been disapproved.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"



# SESCOMMUNITYADS_PMTMADEADMIN
"_EMAIL_SESCOMMUNITYADS_PMTMADEADMIN_TITLE";"Payment made for an advertisement"
"_EMAIL_SESCOMMUNITYADS_PMTMADEADMIN_DESCRIPTION";"This email will be sent to admins when payment for an advertisement is made on this site."
"_EMAIL_SESCOMMUNITYADS_PMTMADEADMIN_SUBJECT";"Payment for an advertisement is made."
"_EMAIL_SESCOMMUNITYADS_PMTMADEADMIN_BODY";"[header]

Thank you for choosing us.

Payment for an advertisement is made.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"


# SESCOMMUNITYADS_PAYMENTSUCCESSFULL
"_EMAIL_SESCOMMUNITYADS_PAYMENTSUCCESSFULL_TITLE";"Payment Successful for advertisement"
"_EMAIL_SESCOMMUNITYADS_PAYMENTSUCCESSFULL_DESCRIPTION";"This email will be sent to members when payment for their advertisement is successful."
"_EMAIL_SESCOMMUNITYADS_PAYMENTSUCCESSFULL_SUBJECT";"Payment for your advertisement is successful."
"_EMAIL_SESCOMMUNITYADS_PAYMENTSUCCESSFULL_BODY";"[header]

Thank you for choosing us.

Payment for the advertisement you posted on website is successful.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"



# SESCOMMUNITYADS_ADSACTIVATED
"_EMAIL_SESCOMMUNITYADS_ADSACTIVATED_TITLE";"Advertisement Activated"
"_EMAIL_SESCOMMUNITYADS_ADSACTIVATED_DESCRIPTION";"This email will be sent to members when their advertisement is activated."
"_EMAIL_SESCOMMUNITYADS_ADSACTIVATED_SUBJECT";"Your Advertisement is Activated now."
"_EMAIL_SESCOMMUNITYADS_ADSACTIVATED_BODY";"[header]

Thank you for choosing us.

The advertisement you posted on website is now activated.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"


# SESCOMMUNITYADS_PAYMENTPENDING
"_EMAIL_SESCOMMUNITYADS_PAYMENTPENDING_TITLE";"Payment Pending for advertisement"
"_EMAIL_SESCOMMUNITYADS_PAYMENTPENDING_DESCRIPTION";"This email will be sent to members when payment for their advertisement is pending."
"_EMAIL_SESCOMMUNITYADS_PAYMENTPENDING_SUBJECT";"Payment for your advertisement is pending."
"_EMAIL_SESCOMMUNITYADS_PAYMENTPENDING_BODY";"[header]

Thank you for choosing us.

Payment for the advertisement you posted on website is pending. Your advertisement will be activated as soon as the transaction is completed. We will notify you by email when it is activated.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"



# SESCOMMUNITYADS_PAYMENTREFUNDED
"_EMAIL_SESCOMMUNITYADS_PAYMENTREFUNDED_TITLE";"Payment Refunded for advertisement"
"_EMAIL_SESCOMMUNITYADS_PAYMENTREFUNDED_DESCRIPTION";"This email will be sent to members when payment for their advertisement is refunded."
"_EMAIL_SESCOMMUNITYADS_PAYMENTREFUNDED_SUBJECT";"Payment for your advertisement is refunded."
"_EMAIL_SESCOMMUNITYADS_PAYMENTREFUNDED_BODY";"[header]

Thank you for choosing us.

Payment for the advertisement you posted on website is refunded.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"


# SESCOMMUNITYADS_PAYMENTCANCEL
"_EMAIL_SESCOMMUNITYADS_PAYMENTCANCEL_TITLE";"Payment Canceled for advertisement"
"_EMAIL_SESCOMMUNITYADS_PAYMENTCANCEL_DESCRIPTION";"This email will be sent to members when payment for their advertisement is canceled."
"_EMAIL_SESCOMMUNITYADS_PAYMENTCANCEL_SUBJECT";"Payment for your advertisement is canceled."
"_EMAIL_SESCOMMUNITYADS_PAYMENTCANCEL_BODY";"[header]

Thank you for choosing us.

Payment for the advertisement you posted on website is canceled.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"



# SESCOMMUNITYADS_NEWADSCREATEADMIN
"_EMAIL_SESCOMMUNITYADS_NEWADSCREATEADMIN_TITLE";"New Advertisement created email to admin"
"_EMAIL_SESCOMMUNITYADS_NEWADSCREATEADMIN_DESCRIPTION";"This email will be sent to site admins when new advertisement is created on this site."
"_EMAIL_SESCOMMUNITYADS_NEWADSCREATEADMIN_SUBJECT";"New Advertisement is created."
"_EMAIL_SESCOMMUNITYADS_NEWADSCREATEADMIN_BODY";"[header]

Thank you for choosing us.

A new advertisement has been created on website.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"


# SESCOMMUNITYADS_NEWADSCREATEADMINAPPROVAL

"_EMAIL_SESCOMMUNITYADS_NEWADSCREATEADMINAPPROVAL_TITLE";"New Advertisement created and is waiting for approval"
"_EMAIL_SESCOMMUNITYADS_NEWADSCREATEADMINAPPROVAL_DESCRIPTION";"This email will be sent to site admins when new advertisement is created on this site and is waiting for approval / rejection from admin."
"_EMAIL_SESCOMMUNITYADS_NEWADSCREATEADMINAPPROVAL_SUBJECT";"New Advertisement is created & waiting for approval."
"_EMAIL_SESCOMMUNITYADS_NEWADSCREATEADMINAPPROVAL_BODY";"[header]

A new advertisement has been posted on website.

[title]

[description]


Please follow the link below to view to view the advertisement and take appropriate action.

http://[host][ad_link]


[footer]"



# SESCOMMUNITYADS_ADSEXPIRED
"_EMAIL_SESCOMMUNITYADS_ADSEXPIRED_TITLE";"Advertisement has Expired"
"_EMAIL_SESCOMMUNITYADS_ADSEXPIRED_DESCRIPTION";"This email will be sent to members when their advertisement has been expired."
"_EMAIL_SESCOMMUNITYADS_ADSEXPIRED_SUBJECT";"You Advertisement has expired."
"_EMAIL_SESCOMMUNITYADS_ADSEXPIRED_BODY";"[header]

Thank you for choosing us.

The advertisement you posted on website is expired.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"


# SESCOMMUNITYADS_ADSOVERDUE
"_EMAIL_SESCOMMUNITYADS_ADSOVERDUE_TITLE";"Payment Overdue for advertisement"
"_EMAIL_SESCOMMUNITYADS_ADSOVERDUE_DESCRIPTION";"This email will be sent to members when payment for their advertisement is overdue."
"_EMAIL_SESCOMMUNITYADS_ADSOVERDUE_SUBJECT";"Payment for your advertisement is Overdue."
"_EMAIL_SESCOMMUNITYADS_ADSOVERDUE_BODY";"[header]

Thank you for choosing us.

Payment for the advertisement you posted on website is overdue.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"


# SESCOMMUNITYADS_ADSPENDING
"_EMAIL_SESCOMMUNITYADS_ADSPENDING_TITLE";"Payment Pending for advertisement"
"_EMAIL_SESCOMMUNITYADS_ADSPENDING_DESCRIPTION";"This email will be sent to members when payment for their advertisement is pending."
"_EMAIL_SESCOMMUNITYADS_ADSPENDING_SUBJECT";"Payment for your advertisement is pending."
"_EMAIL_SESCOMMUNITYADS_ADSPENDING_BODY";"[header]

Thank you for choosing us.

Payment for the advertisement you posted on website is pending.

[title]

[description]


Please follow the link below to view your advertisement.

http://[host][ad_link]


[footer]"


"_ACTIVITY_ACTIONTYPE_SESCOMMUNITYADS_PAGE_AD";"When I create Ad."
